TIME,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,:,,56.7,,56.9,,57.4,,58.1,,58.7,,60,,61.1,,61.9,,61.4,,61.2,,61.4,,61.5,,61.6,,62.4,,63.3,,64.3,,65.5,,66.5,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,57.9,,58.2,,58.7,,59.3,,59.9,,61,,62,,62.7,,62.2,,62.1,,62.2,,62.4,,62.6,,63.5,,64.3,,65.3,,66.4,,67.4,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area - 19 countries  (from 2015),:,,:,,:,,:,,51.5,,52.4,,53.7,,54.9,,55.9,,56.9,,57.6,,58.4,,59.1,,60.4,,61.5,,62.3,,61.8,,61.8,,62,,62,,62,,62.7,,63.4,,64.4,,65.4,,66.4,
Euro area - 18 countries (2014),:,,:,,:,,:,,51.4,,52.3,,53.6,,54.8,,55.9,,56.8,,57.5,,58.3,,59.1,,60.3,,61.4,,62.2,,61.8,,61.7,,62,,62,,62,,62.6,,63.3,,64.3,,65.3,,66.3,
Belgium,48.9,e,49.1,e,49.6,e,50.2,e,51.4,e,52.7,e,54.7,b,56,,55.3,b,55.8,,56.2,,57.2,,58.6,,58.8,,60.3,,61.3,,61,,61.6,,61.5,,61.7,,62.1,,62.9,,63,,63,,63.6,b,65.5,
Bulgaria,:,,:,,:,,:,,:,,:,,:,,50.7,,51.5,b,52.3,,54,,56,,57.1,,60.4,,63.5,,65.4,,64,,60.8,b,59.8,b,60.2,,60.7,,62,,63.8,,64,,67.3,,68.3,
Czechia,:,,:,,:,,:,,:,,63.9,,62.3,,61.9,,62.2,,62.3,,61.4,,61.1,,61.3,,61.8,,62.4,,62.5,,61.4,,60.9,,61.7,b,62.5,,63.8,,64.7,,66.4,,68.6,,70.5,,72.2,
Denmark,69.6,e,68.3,e,67.9,e,68.5,e,70.1,e,71.2,e,72.3,b,72.9,,73.7,,73.1,,72.4,,73,,73.7,,74.8,,74.7,,74.3,b,73.1,,72,,71.4,,71.1,,71.2,,71,,71.5,,72.5,b,73.2,b,73.9,
Germany (until 1990 former territory of the FRG),56.9,e,57.2,e,57.6,e,57.8,e,57.9,e,58.6,e,59.9,e,60.8,e,61.5,e,61.8,e,61.9,e,62,e,63.1,b,65,,66.7,,67.8,,68.7,,69.7,b,71.3,b,71.6,,72.5,,73.1,,73.6,,74.5,,75.2,,75.8,
Estonia,:,,:,,:,,:,,65.7,e,66.1,e,63.9,e,62.8,b,63.5,,64.3,,66,,67.3,,69.7,,72.5,,72.6,,72.9,,69,,65.9,,67.8,,69.4,,70.1,,70.6,,72.6,,72.6,,75.1,,75.6,
Ireland,42.6,e,44.6,e,46.4,e,48.2,e,50.1,e,54.4,b,57.2,,59.2,,60.4,,61,,61.1,,62.2,,63.7,,64.6,,65.8,b,65.4,,62.9,,61.1,,60.2,,60.2,,61.3,,62.3,,63.8,,65.4,,67,,68.1,
Greece,39.8,e,40.6,e,41.5,e,42.1,e,42.9,e,44.1,b,44.8,,45.5,,45.2,b,46.8,,48.1,,49,b,49.7,,51.3,,51.7,,52.6,,52.9,b,51.8,,48.7,,45.2,,43.3,,44.3,,46,,46.8,,48,,49.1,
Spain,33.8,e,33.9,e,34.9,e,36.3,,37.9,,39.1,,41.6,,44.5,,46.3,b,48.3,,50.2,,52.1,,55.1,b,57.1,,58.6,,58.9,,56.8,,56.3,,56.1,,54.6,,53.8,,54.8,,56.4,,58.1,,59.6,,61,
France,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,63,e,63,e,63.2,e,63.4,e,64.3,e,65,e,64.4,e,64.3,e,64.1,e,64.6,e,64.9,e,65.6,,66,,66.3,,66.7,,67.6,
Croatia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,51.1,e,52,e,52.8,e,53.6,e,55.9,,57,,58,,56.4,,53.6,,52.6,,52.8,,54.2,,55.9,,56.6,,58.3,,60.1,
Italy,38.7,e,38.5,e,38.5,e,38.8,e,39.1,e,39.9,,40.9,,42.2,,43.8,,44.9,,45.6,,48.5,b,48.5,,49.6,,49.9,,50.6,,49.7,,49.5,,49.9,,50.5,,49.9,,50.3,,50.6,,51.6,,52.5,,53.1,
Cyprus,:,,:,,:,,:,,56.5,e,56.4,e,56.9,e,59.1,e,62.4,e,64.6,e,65.4,e,64.6,e,63.8,,65.9,,67.7,,68.2,,68.3,b,68.8,,67.7,,64.8,,62.2,,63.9,,64,,64.1,,66.2,,68.9,
Latvia,:,,:,,:,,:,,60.9,e,60,e,59,e,59.3,e,60.6,e,62.3,b,63.2,,63.5,,64.5,,68.4,,70.3,,71.9,,66.5,,64.5,,65.3,,66.4,,67.7,,68.5,,70.5,,71.8,,72.7,,74.8,
Lithuania,:,,:,,:,,:,,63.9,e,64.3,e,65,e,63.9,e,62.6,e,63.9,b,65.6,,65.3,,66.6,,68,,69.1,,68.7,,67.2,,65,,66.6,,67.9,,68.6,,70.6,,72.2,,74.3,,75.5,,76.7,
Luxembourg,47.1,e,46.8,e,45.9,e,47.1,e,48.9,e,49.8,e,51.7,e,53.1,e,54.1,e,55,e,55.1,b,56.2,,58.4,,59.4,,61,b,60.1,,61.5,b,62,,61.9,,64.1,,63.9,,65.5,,65,b,65.1,,67.5,,68,
Hungary,:,,:,,:,,:,,49.9,e,51.4,e,53.2,,53.9,,54.1,b,54.3,,55.5,,55.3,,55.6,,55.6,,55.2,,54.8,,54,,54.6,,54.7,,56.2,,56.9,,60.2,,62.1,,64.6,,65.7,,66.8,
Malta,:,,:,,:,,:,,33.4,e,33.4,e,33.4,e,33.2,e,33,e,34.4,,34.9,,34.3,,34.8,b,35.7,,37.7,,39.4,,40,,41.6,,43.8,,48,,51.7,,54.3,,55.3,,58,,60.6,,64.1,
Netherlands,53.5,e,54.5,e,55.2,e,56.8,e,58.7,e,60.5,e,62.3,e,64.1,,65.7,,66.8,,66.9,,66.9,,64.4,b,65.7,,67.7,,69.4,,69.9,,69.8,,70.4,,71,,70.6,,69.7,,70.8,,71.6,,72.8,,74.2,
Austria,:,,:,,60.9,e,60.7,e,60.9,e,61.5,e,61.8,,62.3,,62.8,,64.1,,64.5,,62.7,b,64,,65.2,,66.2,b,67.6,,68.2,,68.8,,69.2,,69.6,,70,,70.1,,70.2,,70.9,,71.4,,71.7,
Poland,:,,:,,:,,:,,:,,57.5,e,56.2,e,54.2,b,53,b,51.4,,51.2,b,51.2,b,51.7,,53.1,,55.5,,57.3,,57.6,,57.3,b,57.2,,57.5,,57.6,,59.4,,60.9,,62.2,,63.6,,65,
Portugal,59.2,e,58.7,e,58.8,e,59.1,e,60.5,,62.8,b,64,,65.1,,65.8,,65.7,,65.8,,65.9,,66,,66.3,,66.3,,67.1,,66.1,,65.6,,64.6,b,63,,62.3,,64.2,,65.9,,67.4,,69.8,,72.1,
Romania,:,,:,,:,,:,,:,,63.7,e,63.2,,63,,62.3,,56.8,b,57,b,57.4,,56.9,,58.5,,57.9,,57.3,,56.3,,56.5,b,56.2,,56.7,,56.5,,57.3,,57.2,,57.4,,60.2,,60.6,
Slovenia,:,,:,,:,,:,,63.7,e,64.3,e,63.1,,63.6,,64.1,,63.8,,62.8,,65.4,,66.2,,66.5,,67.1,,68.5,,67.9,,66.5,,64.8,,64.6,,63,,63.6,,64.7,,66.7,,69.7,,71.7,
Slovakia,:,,:,,:,,:,,59.2,e,59.2,,57.8,b,57.2,,57.5,,57.2,,58.4,b,56.7,,56.7,,57.5,,58.7,,60.3,,58.2,,57.4,,57.4,b,57.3,,57.8,,58.6,,60.3,,62.7,,64.7,,65.5,
Finland,:,,:,,:,,62.4,e,63.6,e,65.3,,67.6,,68.2,b,69.5,,70.4,,70,,69.7,,70.8,,71.5,,72.5,,73.1,,72.4,,71.5,,71.9,,72.5,,71.9,,72.1,,71.8,,71.7,,72.4,,74.5,
Sweden,:,,:,,:,,73.3,e,71.6,e,71.6,e,73.6,e,74.6,e,76.4,b,76.6,,76,,75.3,,75.2,b,75.8,,77.1,,77.2,,75.7,,75,,76.5,,76.8,,77.2,,77.6,,78.3,,79.2,,79.8,,80.2,b
United Kingdom,62.9,e,63.2,e,63.6,e,64.4,e,65.1,e,65.5,e,66.2,b,66.8,,67.3,,67.5,,67.7,,68,b,68.5,,68.6,,68.4,b,68.8,b,68.2,,67.9,,67.8,,68.4,,69.3,,70.6,,71.3,,72.1,,73.1,,73.8,
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,81.5,b,79.9,,81.2,,81.8,,81.4,,80.4,,77.8,,77.6,,77.9,,79.1,,79.5,,81.7,,83.3,,84.4,,84.5,,83.2,
Norway,:,,:,,:,,73.1,e,74.8,e,76.3,e,76.3,e,76.1,,76.2,,75.9,,75,,74.8,,74.6,,75.7,b,77.5,,78.6,,77.9,,76.9,,77.1,,77.3,,77.1,,77.1,,76.7,,76.7,,76.2,,76.5,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,73.2,b,74.6,,75.3,,75.3,,76.2,,76.8,,77.5,,77.4,,77.9,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,44.4,,46.2,,47.5,,49.7,,51.6,,51.3,,51.4,,52.9,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,34,,35.8,,36.2,,37.1,,37.5,,38.8,,38.7,,40.7,,40.8,,42.1,,42.5,,43.7,,45.2,
