TIME,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,:,,65.9,,65.7,,66,,66.3,,66.8,,68,,69,,69.5,,68.2,,67.8,,67.9,,67.6,,67.5,,68.2,,69.1,,70.1,,71.3,,72.4,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,66.9,,66.8,,67,,67.3,,67.8,,68.8,,69.8,,70.2,,68.9,,68.5,,68.6,,68.4,,68.4,,69.2,,70.1,,71.1,,72.2,,73.2,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area - 19 countries  (from 2015),:,,:,,:,,:,,62.9,,63.6,,64.6,,65.6,,66.2,,66.6,,66.9,,67.2,,67.8,,68.8,,69.8,,70.1,,68.7,,68.3,,68.4,,68,,67.7,,68.2,,69,,70,,71,,72,
Euro area - 18 countries (2014),:,,:,,:,,:,,62.8,,63.6,,64.6,,65.6,,66.2,,66.6,,66.9,,67.2,,67.8,,68.8,,69.8,,70.1,,68.7,,68.4,,68.4,,68,,67.7,,68.2,,68.9,,69.9,,70.9,,71.9,
Belgium,61.2,e,61,e,61.4,e,61.7,e,62.4,e,63.1,e,64.5,b,65.8,,65,b,65,,64.7,,65.6,,66.5,,66.5,,67.7,,68,,67.1,,67.6,,67.3,,67.2,,67.2,,67.3,,67.2,,67.7,,68.5,b,69.7,
Bulgaria,:,,:,,:,,:,,:,,:,,:,,55.3,,54.8,b,55.8,,58,,60.1,,61.9,,65.1,,68.4,,70.7,,68.8,,64.7,b,62.9,b,63,,63.5,,65.1,,67.1,,67.7,,71.3,,72.4,
Czechia,:,,:,,:,,:,,:,,73.4,,71.5,,71,,71.2,,71.6,,70.7,,70.1,,70.7,,71.2,,72,,72.4,,70.9,,70.4,,70.9,b,71.5,,72.5,,73.5,,74.8,,76.7,,78.5,,79.9,
Denmark,74,e,74.3,e,75.1,e,75.5,e,76.5,e,77.1,e,77.7,b,78,,78.3,,77.7,,77.3,,77.6,,78,,79.4,,79,,78.7,b,76.1,,74.9,,74.8,,74.3,,74.3,,74.7,,75.4,,76,b,76.6,b,77.5,
Germany (until 1990 former territory of the FRG),67.6,e,67.4,e,67.5,e,67.1,e,66.8,e,67.1,e,68.1,e,68.7,e,68.9,e,68.7,e,68.3,e,68.2,e,69.4,b,71.1,,72.9,,74,,74.2,,75,b,76.5,b,76.9,,77.3,,77.7,,78,,78.6,,79.2,,79.9,
Estonia,:,,:,,:,,:,,70.9,e,71.1,e,68.4,e,66.6,b,67.4,,68,,69.6,,70.3,,72,,75.9,,76.9,,77.1,,70,,66.8,,70.6,,72.2,,73.3,,74.3,,76.5,,76.6,,78.7,,79.5,
Ireland,57.5,e,59.2,e,60.9,e,62,e,63.4,e,67.6,b,70.2,,71.8,,72.4,,72.1,,72,,72.9,,74,,74.7,,75.1,b,73.5,,68,,65.5,,64.6,,64.5,,66.5,,68.1,,69.9,,71.4,,73,,74.1,
Greece,58.5,e,59.1,e,59.7,e,60.1,e,60.4,e,61.3,b,61.4,,61.9,,61.5,b,62.5,,63.6,,63.9,b,64.4,,65.6,,65.8,,66.3,,65.6,b,63.8,,59.6,,55,,52.9,,53.3,,54.9,,56.2,,57.8,,59.5,
Spain,51.3,e,50.8,e,51.7,e,52.7,,54.2,,55.9,,58.3,,60.7,,62.1,b,63.1,,64.3,,65.4,,67.5,b,69,,69.7,,68.5,,64,,62.8,,62,,59.6,,58.6,,59.9,,62,,63.9,,65.5,,67,
France,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,69.2,e,69.1,e,68.9,e,68.9,e,69.4,e,69.9,e,69,e,68.9,e,68.8,e,68.9,e,69,e,69.2,,69.5,,70,,70.6,,71.3,
Croatia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,58.4,e,59.5,e,59.9,e,60.6,e,63.9,,64.9,,64.2,,62.1,,59.8,,58.1,,57.2,,59.2,,60.6,,61.4,,63.6,,65.2,
Italy,56.6,e,55.7,e,55.1,e,55.1,e,55.2,e,55.7,,56.4,,57.4,,58.5,,59.4,,60,,61.6,b,61.5,,62.4,,62.7,,62.9,,61.6,,61,,61,,60.9,,59.7,,59.9,,60.5,,61.6,,62.3,,63,
Cyprus,:,,:,,:,,:,,71.2,e,71.2,e,71.1,e,72.2,e,73.9,e,74.9,e,75.2,e,75.1,e,74.4,,75.8,,76.8,,76.5,,75.3,b,75,,73.4,,70.2,,67.2,,67.6,,67.9,,68.7,,70.8,,73.9,
Latvia,:,,:,,:,,:,,65.5,e,65.3,e,64.5,e,63.6,e,64.5,e,66.5,b,67.8,,67.9,,69.1,,73.2,,75.2,,75.4,,66.6,,64.3,,66.3,,68.1,,69.7,,70.7,,72.5,,73.2,,74.8,,76.8,
Lithuania,:,,:,,:,,:,,68.2,e,68.3,e,67.7,e,65.5,e,64.2,e,67.2,b,68.9,,69.3,,70.7,,71.3,,72.7,,72,,67,,64.3,,66.9,,68.5,,69.9,,71.8,,73.3,,75.2,,76,,77.8,
Luxembourg,64.4,e,63.7,e,63.1,e,63.7,e,64.7,e,65.2,e,66.1,e,67,e,67.5,e,67.8,e,67.2,b,67.7,,69,,69.1,,69.6,b,68.8,,70.4,b,70.7,,70.1,,71.4,,71.1,,72.1,,70.9,b,70.7,,71.5,,72.1,
Hungary,:,,:,,:,,:,,58,e,58.8,e,60.6,,61.2,,61.3,b,61.4,,62.4,,62.1,,62.2,,62.6,,62.3,,61.5,,60.1,,59.9,,60.4,,61.6,,63,,66.7,,68.9,,71.5,,73.3,,74.4,
Malta,:,,:,,:,,:,,57.5,e,57.5,e,57.5,e,57.4,e,57.4,e,57.7,,57.8,,57.9,,57.4,b,57.9,,58.6,,59.2,,59,,60.1,,61.6,,63.9,,66.2,,67.9,,69,,71.1,,73,,75.5,
Netherlands,66.2,e,66.5,e,67,e,68.3,e,70.2,e,71.7,e,73,e,74.3,,75.4,,75.8,,75.2,,74.9,,72.7,b,73.7,,75.5,,76.9,,76.8,,76.2,,76.4,,76.6,,75.9,,75.4,,76.4,,77.1,,78,,79.2,
Austria,:,,:,,70.8,e,70.3,e,70.5,e,70.9,e,71,,71.4,,71.3,,71.8,,72,,69.5,b,70.4,,71.6,,72.8,b,73.8,,73.4,,73.9,,74.2,,74.4,,74.6,,74.2,,74.3,,74.8,,75.4,,76.2,
Poland,:,,:,,:,,:,,:,,65.2,e,63,e,61,b,59.4,b,57.4,,57.1,b,57.3,b,58.3,,60.1,,62.7,,65,,64.9,,64.3,b,64.5,,64.7,,64.9,,66.5,,67.8,,69.3,,70.9,,72.2,
Portugal,69.7,e,68.7,e,68.1,e,68.1,e,69,,72.2,b,72.7,,73.5,,74,,73.6,,72.9,,72.5,,72.2,,72.6,,72.5,,73.1,,71.1,,70.3,,68.8,b,66.3,,65.4,,67.6,,69.1,,70.6,,73.4,,75.4,
Romania,:,,:,,:,,:,,:,,70.4,e,69.4,,69.1,,68.3,,63.3,b,63.7,b,63.5,,63.6,,64.8,,64.4,,64.4,,63.5,,64.8,b,63.8,,64.8,,64.7,,65.7,,66,,66.3,,68.8,,69.9,
Slovenia,:,,:,,:,,:,,68.4,e,68.9,e,68.1,,68.5,,69.4,,69,,68.1,,70.4,,71.1,,71.5,,72.4,,73,,71.9,,70.3,,68.4,,68.3,,67.2,,67.7,,69.1,,70.1,,73.4,,75.4,
Slovakia,:,,:,,:,,:,,67.7,e,67.4,,65,b,63.5,,63.5,,63.6,,64.8,b,63.7,,64.5,,66,,67.2,,68.8,,66.4,,64.6,,65,b,65.1,,65,,65.9,,67.7,,69.8,,71.1,,72.4,
Finland,:,,:,,:,,65,e,66.7,e,68.7,,70.7,,71.6,b,72.6,,72.6,,72.2,,72.2,,73,,73.9,,74.8,,75.8,,73.5,,73,,73.8,,74,,73.3,,73.1,,72.9,,73.4,,74.2,,76.3,
Sweden,:,,:,,:,,74.8,e,73.7,e,74.2,e,75.7,e,76.8,e,78.7,b,78.5,,77.9,,77.4,,77.9,b,78.8,,80.1,,80.4,,78.3,,78.1,,79.4,,79.4,,79.8,,80,,80.5,,81.2,,81.8,,82.4,b
United Kingdom,70.2,e,70.6,e,71.1,e,71.7,e,72.6,e,73.1,e,73.5,b,74,,74.4,,74.5,,74.7,,75,b,75.2,,75.2,,75.2,b,75.2,b,73.9,,73.5,,73.5,,74.1,,74.8,,76.2,,76.8,,77.5,,78.2,,78.7,
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,85.1,b,84.4,,85.5,,86.3,,86.7,,85.3,,80.6,,80.4,,80.6,,81.8,,82.8,,84.9,,86.5,,87.8,,87.6,,86.5,
Norway,:,,:,,:,,78.1,e,79.8,e,81,e,80.6,e,80.3,,80.1,,79.6,,78.4,,78.2,,78.2,,79.5,b,80.9,,81.8,,80.6,,79.6,,79.6,,79.9,,79.6,,79.6,,79.1,,78.6,,78.3,,79.2,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,79.7,b,80.8,,81,,80.8,,81.1,,81.7,,82,,82.1,,82.5,
